id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall;transaction_type;lat;long
298478;300000;Rua General Câmara; Ipiranga;3;2;2;100;6;1;0;0;0;Alguel;-21.1474215;-47.8209028
682833;360000;Rua Doutor Roberto Mange; Vila Tamandaré;3;2;2;135;5;1;0;0;0;Alguel;;
335263;250000;Avenida Octávio Golfeto; Jardim Jose Sampaio Junior;3;4;2;96;6;0;0;0;0;Alguel;;
866992;350000;Rua Edgard Colombini; Jardim Arlindo Laguna;3;2;2;185;6;1;0;0;0;Alguel;;
860188;65000;Largo da Valéria; Valéria;3;1;1;90;6;0;0;0;0;Alguel;;
337320;418000;Rua Tenente Rosana Ribeiro Restini; Ribeirao Verde;4;2;3;151;6;1;0;0;0;Alguel;-21.1315659;-47.739145
792182;770000;Praça Platão; Vila Formosa;4;2;4;190;5;1;0;0;0;Alguel;-23.568423449999997;-46.538863709917436
575966;300000;Rua General Câmara; Ipiranga;3;3;2;170;6;1;0;0;0;Alguel;-21.1474215;-47.8209028
859097;398500;Rua Antônio Joaquim de Souza; Jardim Alvorada;3;4;2;232;6;0;0;0;0;Alguel;;
620253;195000;Avenida Maestro Alfredo Pires; Jardim Heitor Rigon;2;2;2;117;6;1;0;0;0;Alguel;-21.1146384;-47.8160348
652248;152000;Rua Everton Coelho; Dezoito do Forte;3;1;2;70;2;1;0;0;1;Alguel;;
650276;450000;Rua Cravinhos; Jardim Paulistano;3;3;4;135;6;1;0;0;0;Alguel;;
754159;540000;Rua José Barense; Greenville;3;2;3;143;6;1;0;0;0;Alguel;-21.2159766;-47.7680684
492908;350000;Rua Adalberto Pajuaba; Sumarezinho;3;2;1;130;6;1;0;0;0;Alguel;-21.1602545;-47.8242847
798810;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
827745;495000;Rua José de Paula; Centro;3;2;3;146;7;0;0;0;0;Alguel;-22.3520066;-47.3774423
688577;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
392819;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
397177;265000;Rua Álvares de Azevedo; Vila Tibério;3;4;2;113;5;0;0;0;0;Alguel;-21.1719218;-47.820098
775407;49900;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;0;Alguel;-9.7160207;-35.8927564
58119;220000;Rua Francisco Buonvicini; Jardim Jandaia;2;4;2;170;6;0;0;0;0;Alguel;;
144049;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
791182;60000;Avenida Cléo de Verberena; Altos de Santana I ;1;0;1;600;8;0;0;0;0;Alguel;;
216982;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
770438;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
230787;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
68826;310000;Rua Camilo de Mattos; Jardim Mosteiro;2;2;2;110;6;0;0;0;0;Alguel;;
359136;60000;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;1;Alguel;-9.7160207;-35.8927564
459770;29900;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0;Alguel;-23.3899331;-46.3247545
309141;390000;Avenida Monteiro Lobato; VILA VIRGINIA;3;2;2;180;5;0;0;0;0;Alguel;;
305948;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
111828;375000;Rua José Arigó; Jardim Novo Mundo;3;4;2;260;6;1;0;0;0;Alguel;;
248904;510000;Rua Professora Edina Rocha de Freitas; Jardim Macedo;3;4;3;200;6;1;0;0;0;Alguel;;
947042;390000;Avenida Ivo Pareschi; Planalto Verde I;3;3;3;162;6;1;0;0;0;Alguel;-21.1393163;-47.8525352
126099;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
513078;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0;Alguel;;
863586;550000;Rua Marechal Mascarenhas de Morais; Parque Industrial Lagoinha;3;4;4;265;9;1;0;0;0;Alguel;-21.1892049;-47.7659401
997179;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
238044;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
454894;385000;Avenida Marechal Hermes da Fonseca; Bessa;3;1;2;71;2;1;0;1;0;Alguel;-7.0725547;-34.8453149
273928;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
229759;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
83905;198000;Rua Bancário Sérgio Guerra; Anatólia;2;1;1;76;2;1;0;1;0;Alguel;-7.1501925;-34.840813
184605;55000;Recanto das Águas; Igaratá;1;0;1;600;8;0;0;0;1;Alguel;;
833450;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
258951;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0;Alguel;-22.2941505;-46.3651907
493009;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
897373;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
677558;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
612805;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
328336;499900;Avenida Octávio Golfeto; Jardim Jose Sampaio Junior;3;3;2;111;6;0;0;0;0;Alguel;;
10322;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0;Alguel;;
778866;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0;Alguel;;
224236;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0;Alguel;-15.3000401;-49.4271365
325887;45000;Centro; Igaratá;1;0;1;1000;8;0;0;0;0;Alguel;-23.20691;-46.154389
877100;49900;Centro; Nazaré Paulista;1;0;1;600;8;0;0;0;0;Alguel;-23.1824754;-46.398502
318061;200000;Rua Álvares de Azevedo; Vila Tibério;3;2;2;102;5;0;0;0;0;Alguel;-21.1719218;-47.820098
691206;395000;Rua Júlio Cesar; Parque Dez de Novembro;3;2;1;95;6;0;0;0;0;Alguel;-3.09042;-60.0198316
210188;424000;Rua Guido Rossini Neto; Jardim Roseira;3;2;2;130;6;1;0;0;0;Alguel;;
637599;280000;Rua General Câmara; Ipiranga;2;2;1;101;6;0;0;0;0;Alguel;-21.1474215;-47.8209028
993219;678000;Rua João Tibiriçá; Lapa;2;1;2;55;2;1;0;0;0;Alguel;-23.5218211;-46.7169631
601304;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
89017;60000;Centro; Piracaia;1;0;1;600;8;0;0;0;0;Alguel;-22.9557202;-46.5369853
910591;430000;Rua Cravinhos; Jardim Paulistano;3;2;3;170;6;1;0;0;0;Alguel;;
64243;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
905556;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
745588;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0;Alguel;-22.2941505;-46.3651907
419226;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
17767;410000;Rua Jácomo Natal Granzotto; Parque Residencial Cândido Portinari;3;2;2;150;6;1;0;0;0;Alguel;;
711616;35000;Estrada Bairro Ouro Fino; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
7346;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
566613;45000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0;Alguel;-23.1618308;-46.1591984
121682;49999;Avenida Antonio de Oliveira; Rio Acima;1;0;1;1000;8;0;0;0;0;Alguel;;
293259;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
982029;50000;Travessa Alcebíades Fagundes; Centro;1;0;1;1000;8;0;0;0;0;Alguel;;
50609;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0;Alguel;-23.1168611;-46.5537288
714887;890000;Avenida Santa Cruz; Santa Cruz;3;2;4;150;9;0;0;0;0;Alguel;-27.3984446;-55.9260629
575345;45000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0;Alguel;;
772362;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
451065;440000;Rua Adalberto Pajuaba; Sumarezinho;3;2;2;120;6;1;0;0;0;Alguel;-21.1602545;-47.8242847
279657;250000;Avenida Ivo Pareschi; Planalto Verde I;3;2;1;100;6;1;0;0;0;Alguel;-21.1393163;-47.8525352
279910;410010;Avenida Augusto Franco; Getúlio Vargas;3;1;2;78;2;0;0;0;0;Alguel;-10.909774;-37.0662373
995790;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
136835;265000;Rua Antônio Roselli; Planalto Verde I;3;2;2;125;6;1;0;0;0;Alguel;-21.1406737;-47.841397
445484;90000;Rua Nelson Gonçalves; Chacara Itapoa;1;0;1;1000;8;0;0;0;0;Alguel;;
957627;473700;Rua Constantino Abreu Araújo; Parque Yolanda;3;2;4;153;6;1;0;0;0;Alguel;;
319890;210000;Via Luiz Galvão Cezar; Parque das Andorinhas;3;2;1;95;6;0;0;0;0;Alguel;;
627897;1489995;Rua Aviador Severiano Lins; Boa Viagem;4;2;6;138;2;1;0;0;0;Alguel;-8.1100988;-34.8942375
93179;745000;Vila Assuncao; Santo André;3;2;2;91;2;1;0;0;0;Alguel;-23.6714442;-46.5268318
