id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall
516834;690000;Rua Tritão; Jardim Maristela;3;parking2;4;118;9;1;0;1;0
673886;470000;Boa Viagem; Recife;3;parking1;3;74;2;0;0;0;0
413731;29900;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
794393;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0
855876;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
974844;60000;Centro; Igaratá;1;0;1;600;8;0;0;0;0
454148;390000;Rua Dom Diogo de Souza; Parque Dez de Novembro;3;parking2;2;90;6;0;1;0;0
76974;250000;Avenida José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
651899;70000;Rua Miosótis; Usina;1;0;1;700;8;0;0;0;0
238790;60000;Centro; Igaratá;1;0;1;600;8;0;0;0;0
177674;30000;Rua Washington Luiz Pereira de Souza; Vila Flora Regina;1;0;1;500;8;0;0;0;0
401258;80000;Rua Miosótis; Usina;1;0;1;800;8;0;0;0;0
819298;70000;Avenida Professor Joaquim Barreto; Centro;1;0;1;1000;8;0;0;0;0
174604;140000;Rua Rio das Canas; Centro;3;parking1;1;60;2;0;0;0;0
621316;178350;Forquilha; São José de Ribamar;2;parking1;2;50;9;0;0;0;0
108840;250000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;500;9;0;0;0;0
542819;314000;Avenida Coronel Teixeira; Ponta Negra;2;parking1;1;50;2;1;0;0;0
862946;90000;Alameda Ceará; Recanto das Estrelas ;1;0;1;500;8;0;0;0;0
928870;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
173600;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
390785;60000;Avenida Antônio Mathias de Camargo; Cachoeira;1;0;1;600;8;0;0;0;0
52670;90000;Rua José Prianti Sobrinho; Recanto das Águas;1;0;1;1000;8;0;0;0;0
109457;390000;Rua Dom Diogo de Souza; Parque Dez de Novembro;3;parking2;2;90;6;0;1;0;0
259353;65000;Centro; Iranduba;1;0;1;2400;8;0;0;0;0
934190;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Centreville;1;0;1;600;8;0;0;0;0
815508;235000;Via João Batista Santanna; Reserva Sul Condomínio Resort;2;parking2;2;54;2;1;0;0;0
174231;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
935667;381600;Rua Valentim Mestriner; Iguatemi;3;parking2;2;107;2;1;0;1;0
440290;420000;Rua Doutor José Maria; Encruzilhada;2;parking1;2;58;2;1;0;0;0
735729;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Bosque dos Pereiras;1;0;1;600;8;0;0;0;0
462116;59900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
941285;29900;Rua Major Benjamin Franco; Centro;1;0;1;500;8;0;0;0;0
22039;30000;Rua Aires Monteiro; Center Ville;1;0;1;500;8;0;0;0;0
582029;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
783458;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
489016;30000;Rodovia Vereador Albino Rodrigues Neves; Pedreira;1;0;1;500;8;0;0;0;0
799303;45000;Rua Aeroporto; Jardim Lavapes das Graças;1;0;1;500;8;0;0;0;0
224306;60000;Rua José Prianti Sobrinho; Rio Do Peixe;1;0;1;600;6;0;0;0;0
897403;60000;Rua José Prianti Sobrinho; Almeida Prado;1;0;1;600;6;0;0;0;0
19702;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
969209;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
944556;55000;Recanto das Águas; Igaratá;1;0;1;600;9;0;0;0;0
795439;49900;Centro; Nazaré Paulista;1;0;1;600;8;0;0;0;0
705254;60000;Rua Attílio Russomano; Vila Santista;1;0;1;500;8;0;0;0;0
23884;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
412117;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
145759;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
966987;60000;Rua dos Andradas; Usina;1;0;1;500;8;0;0;0;0
645568;60000;Rua Bartolomeu Peranovich; Centro;1;0;1;500;8;0;0;0;0
513959;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
799123;550000;Rua Guilherme Guittman; Zona Nova;2;parking1;2;69;9;1;0;0;0
588356;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
635005;29900;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
819803;150000;Avenida José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
95915;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Haras Santa Bárbara;1;0;1;600;8;0;0;0;0
