id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type
979779;79900;Praça Dalila Ferreira Barbosa; Jardim Modelo;1;0;1;1000;8
195807;60000;Rua Acre; Centro;1;0;1;600;8
162087;49900;Rua João José Batista; Centro;1;0;1;600;8
379451;49900;Rua João José Batista; Centro;1;0;1;600;8
821304;25000;Boa Vista; Igaratá;1;0;1;500;8
523358;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8
51764;29900;Rua Albino Rodrigues Neves; Centro;1;0;1;500;8
965551;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8
98072;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8
663523;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8
443826;29900;Rua Habib Tanuri; Center Ville;1;0;1;500;8
13987;314000;Avenida Coronel Teixeira; Ponta Negra;2;parking1;1;50;2
791499;250000;Avenida Luzitana; Parque Ribeirão Preto;2;parking2;2;140;6
972096;29900;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8
961331;29900;Rua Elpidio Ferreira Guimarães; Center Ville;1;0;1;500;8
313411;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8
75848;35000;Centro; Santa Isabel;1;0;1;1000;8
522384;290000;Avenida Amorim Brenha; Jardim Eldorado;3;parking2;2;120;6
365707;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8
344681;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8
885667;287700;Rua Sebastião Serafim Vieira; Jardim Dom Bosco I;3;parking2;2;75;6
683881;22000;Estrada do Ouro Fino; Centro;1;0;1;500;8
6377;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8
279087;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8
5719;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9
902868;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8
34175;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8
369043;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
852607;35000;Avenida Manoel Ferraz de Campos Sales; Ouro Fino;1;0;1;1000;8
363003;60000;Praça Raul Chaves; Centro;1;0;1;600;8
608494;29900;Avenida João Manoel; Centro;1;0;1;500;8
336388;60000;Avenida Engenheiro David Monteiro Lino; Centro;1;0;1;600;8
382995;456000;Rua São Vicente; Tamarineira;2;parking1;2;51;2
73452;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8
388582;0;Rua Frederico Netto; Jardim Sao Domingos;3;parking2;3;250;6
31199;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8
194642;0;Rua Frederico Netto; Jardim Sao Domingos;3;parking2;3;250;6
412673;49900;Rua João José Batista; Centro;1;0;1;600;8
481500;70000;Rua Miosótis; Usina;1;0;1;700;8
928868;59900;Rua João José Batista; Centro;1;0;1;600;8
482126;250000;Avenida Luzitana; Parque Ribeirão Preto;3;parking1;1;151;6
920846;60000;Rua José Prianti Sobrinho; Camargo Imóveis;1;0;1;600;6
915731;600000;Rua Henrique Dumont; Jardim Paulista;3;parking4;3;168;6
179816;265000;Rua Joaquim Fernandes Parreira; Parque dos Flamboyans;3;parking1;3;208;6
516979;398500;Rua Antônio Joaquim de Souza; Jardim Alvorada;3;parking4;2;232;6
944839;79900;Rua Aires Monteiro; Center Ville;1;0;1;1000;8
554797;29900;Avenida João Manoel; Centro;1;0;1;500;8
74910;424000;Rua Guido Rossini Neto; Jardim Roseira;3;parking2;2;130;6
314668;90000;Rua Doutor Pedro Calil Padis; San Fernando Valley;1;0;1;500;8
801548;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8
906985;50000;Rua Acácia; Santa Inês;1;0;1;1000;8
